,Ontology Mean,Ontology Std,Baseline Mean,Baseline Std
E (Initial Errors),4.0,1.0,4.0,1.0
RE (Remaining Errors),0.78,0.3193743884534262,1.3,0.37416573867739417
NE (New Errors),0.18000000000000002,0.13038404810405296,0.48,0.3834057902536163
CE (Corrected Errors),3.22,0.708519583356734,2.7,1.2206555615733703
Correction Rate,0.8103333333333331,0.03916489357688701,0.6473333333333333,0.1605269101705035
Error Addition Rate,0.038,0.027973201461398728,0.09314285714285714,0.07644588885546752
Precision,0.9564444444444445,0.031852766998050584,0.8582222222222222,0.13545385529242146
Recall,0.8103333333333331,0.03916489357688701,0.6473333333333333,0.1605269101705035
F1,0.8732929292929292,0.029674925856235632,0.7316281866281866,0.1252083589800231
Semantic Preservation (SPS),0.9050839459896087,0.014319149099716212,0.9093383193016052,0.010847690237416623
