,Ontology (1),Ontology (2),Ontology (3),Ontology (4),Ontology (5),Baseline (1),Baseline (2),Baseline (3),Baseline (4),Baseline (5)
E (Initial Errors),4.0,5.0,3.0,5.0,3.0,4.0,5.0,3.0,5.0,3.0
RE (Remaining Errors),0.7,1.0,0.6,1.2,0.4,1.0,1.6,1.5,0.8,1.6
NE (New Errors),0.2,0.0,0.1,0.3,0.3,0.2,0.2,1.1,0.6,0.3
CE (Corrected Errors),3.3,4.0,2.4,3.8,2.6,3.0,3.4,1.5,4.2,1.4
Correction Rate,0.825,0.8,0.8,0.76,0.8666666666666666,0.75,0.6799999999999999,0.5,0.8400000000000001,0.4666666666666666
Error Addition Rate,0.04,0.0,0.025,0.05,0.075,0.04,0.03333333333333333,0.22214285714285714,0.09523809523809523,0.075
Precision,0.9550000000000001,1.0,0.9722222222222222,0.9383333333333332,0.9166666666666666,0.96,0.9550000000000001,0.6283333333333333,0.8866666666666667,0.8611111111111112
Recall,0.825,0.8,0.8,0.76,0.8666666666666666,0.75,0.6799999999999999,0.5,0.8400000000000001,0.4666666666666666
F1,0.8734126984126984,0.8833333333333334,0.9063492063492062,0.8252741702741704,0.8780952380952382,0.8253968253968254,0.7815873015873016,0.5791005291005291,0.8545959595959596,0.6174603174603175
Semantic Preservation (SPS),0.915729957818985,0.9151178777217865,0.9111415803432464,0.9020106315612793,0.8814198076725006,0.9158391296863556,0.8970135986804962,0.9120281338691711,0.8994080543518066,0.9224027693271637
